keys,en
AP7_DUNGEON_LK_SCOUT_1_DOG,"Arf?"
AP7_DUNGEON_LK_SCOUT_1_KAYLEIGH,"The Landkeepers! What are they up to now?"
AP7_DUNGEON_LK_SCOUT_1_MEREDITH,"Ugh. The Landkeepers are here too..."
AP7_DUNGEON_LK_SCOUT_1_EUGENE,"What!?[pause] Didn't we kick these guy's ass already?"
AP7_DUNGEON_LK_SCOUT_1_FELIX,"Hey, these guys are back. I wonder what villainy they've been up to here..."
AP7_DUNGEON_LK_SCOUT_1_VIOLA,"Hmm.[pause] Its those land merchants again. What selfish ruse might they have planned this time?"
AP7_DUNGEON_LK_SCOUT_2,"[wave amp=30 freq=5]We're not in the land business anymore. We've found something more...[pause]lucrative...[/wave]"
AP7_DUNGEON_LK_SCOUT_3,"[wave amp=30 freq=5]We're interested in [b]stickers[/b].[pause]\nIn Intellectual property.[/wave]"
AP7_DUNGEON_LK_SCOUT_4,"[wave amp=30 freq=5]For the low price of one uncommon sticker...[pause]I can put you in touch with our sales executives...[/wave]"
AP7_DUNGEON_LK_SCOUT_CHOICE_RARE,"Pay an [color=#225d31]uncommon[/color] sticker, of the Landkeeper's choosing?"
AP7_DUNGEON_LK_SCOUT_OPTION_1,"Invest a sticker"
AP7_DUNGEON_LK_SCOUT_OPTION_2,"Reject the offer"
AP7_DUNGEON_LK_SCOUT_4_TRADE,"[wave amp=30 freq=5]{sticker} will make an excellent edition to our portfolio.[pause]\nI'll open the gate to our offices now...[/wave]"
AP7_DUNGEON_LK_SCOUT_4_NOTRADE,"[wave amp=30 freq=5]You don't have the type of stickers we're after...[/wave]"
AP7_DUNGEON_LK_SCOUT_4_EXIT,"[wave amp=30 freq=5]Perhaps... another time then...[/wave]"
AP7_DUNGEON_LK_SCOUT_4_OPENED,"We have granted you a non-transferrable license to use the gate to our premises. We look forward to future business transactions..."
AP7_DUNGEON_LK_NPC_NAME,"Landkeeper Investor"
AP7_DUNGEON_LK_TRADER_NAME,"Landkeeper Trader"
AP7_DUNGEON_LK_TRADER_CHOICE_RARE,"Invest a [color=#35379d]rare[/color] sticker, of the Landkeeper's choosing?"
AP7_DUNGEON_LK_TRADER_OPTION_1,"Invest a sticker"
AP7_DUNGEON_LK_TRADER_OPTION_2,"Fight the Landkeeper"
AP7_DUNGEON_LK_TRADER_OPTION_3,"Leave"
AP7_DUNGEON_LK_TRADER_A_1,"[wave amp=30 freq=5]You look like some shrewd investors.[pause]\nWelcome to our marketplace of ideas.[/wave]"
AP7_DUNGEON_LK_TRADER_A_2,"[wave amp=30 freq=5]A wise trade here could pay dividends for your journey...[/wave]"
AP7_DUNGEON_LK_TRADER_A_3_Trade,"[wave amp=30 freq=5]We'll take {sticker}.\nA pleasure doing business with you.[/wave]"
AP7_DUNGEON_LK_TRADER_A_3_NoTrade,"[wave amp=30 freq=5]Your stickers lack the rarity and product market fit we desire.[/wave]"
AP7_DUNGEON_LK_TRADER_A_3_Battle,"[wave amp=30 freq=5]A hostile takeover?\n[pause]A brave thought...[pause] but the board declines.[/wave]"
AP7_DUNGEON_LK_TRADER_A_3_Exit,"[wave amp=30 freq=5]Our office hours are on the wall if you change your mind....[/wave]"
AP7_DUNGEON_LK_TRADER_A_4,"[wave amp=30 freq=5]This market is closed for today, visitor.[/wave]"
AP7_DUNGEON_LK_TRADER_B_1,"[wave amp=30 freq=5]That is a fine sticker portfolio...[pause]\nCould we interest you in an assignment of ownership?[/wave]"
AP7_DUNGEON_LK_TRADER_B_2,"[wave amp=30 freq=5]Our remuneration will be quite...[pause]amicable...[/wave]"
AP7_DUNGEON_LK_TRADER_B_3_Trade,"[wave amp=30 freq=5]Thank you visitor for {sticker}.[pause]\nDo stop by again.[/wave]"
AP7_DUNGEON_LK_TRADER_B_3_NoTrade,"[wave amp=30 freq=5]Your stickers do not synergize with our business strategy.[/wave]"
AP7_DUNGEON_LK_TRADER_B_3_Battle,"[wave amp=30 freq=5]We have quite the portfolio too, visitor.\n[pause]But very well...[/wave]"
AP7_DUNGEON_LK_TRADER_B_3_Exit,"[wave amp=30 freq=5]Unfortunate. Let us know if you change your mind....[/wave]"
AP7_DUNGEON_LK_TRADER_B_4,"[wave amp=30 freq=5]Our terms and conditions limit us to one trade per day, visitor.[/wave]"
AP7_DUNGEON_LK_TRADER_DEFEAT,"..."
AP7_DUNGEON_LK_NPC_1,"[wave amp=30 freq=5]Have you seen a Djinn Entonic recently? I was looking to invest in the mind meld intellectual property...[/wave]"
AP7_DUNGEON_LK_NPC_2,"[wave amp=30 freq=5]Would you like to rent one of our stickers? I can give you a fair payment plan...[/wave]"
AP7_DUNGEON_LK_NPC_3,"[wave amp=30 freq=5]Please inform Captain Codey that he should cease and desist his use of the following stickers...[/wave]"
AP7_DUNGEON_LK_NPC_4,"[wave amp=30 freq=5]Could I interest you in our subscription services? Terms and conditions apply.[/wave]"
AP7_DUNGEON_LK_NPC_5,"[wave amp=30 freq=5]We tried making a digital millennium copycat attack sticker...[/wave]"
AP7_DUNGEON_LK_NPC_6,"[wave amp=30 freq=5]We've realized the errors of our ways chasing landownership. Care to listen to our new business proposal?[/wave]"
AP7_DUNGEON_LK_NPC_7,"[wave amp=30 freq=5]I was reading about antitrust litigation. Don't worry. You can trust us with your stickers.[/wave]"
AP7_DUNGEON_LK_NPC_8,"[wave amp=30 freq=5]Attempting to use Broadcast with one our stickers will be met with litigation.[/wave]"
AP7_DUNGEON_LK_NPC_9,"[wave amp=30 freq=5]Unfortunately, most common stickers are in the public domain already...[/wave]"
AP7_DUNGEON_PASSIVE_MALL_KAYLEIGH,"We might be able to find more cassettes here! Neat!"
AP7_DUNGEON_PASSIVE_MALL_MEREDITH,"I wonder if the vinyl is here?"
AP7_DUNGEON_PASSIVE_MALL_EUGENE,"Another empty mall huh?"
AP7_DUNGEON_PASSIVE_MALL_FELIX,"I guess this makes sense, we did come this way."
AP7_DUNGEON_PASSIVE_MALL_VIOLA,"Another sprawling monument to commerce"
AP7_DUNGEON_PASSIVE_CAVE_KAYLEIGH,"There's apparently loads of unexplored caves on New Wirral. Are we in one?"
AP7_DUNGEON_PASSIVE_CAVE_MEREDITH,"I uhh.. can't see the bottom of that pit."
AP7_DUNGEON_PASSIVE_CAVE_EUGENE,"I bet there's some tough monsters down here!"
AP7_DUNGEON_PASSIVE_CAVE_FELIX,"Whoa. It's much darker in here."
AP7_DUNGEON_PASSIVE_CAVE_VIOLA,"A cave such as this could harbor a creature of legend..."
AP7_DUNGEON_PASSIVE_TOWN_KAYLEIGH,"I wonder if there is another Ranger HQ here."
AP7_DUNGEON_PASSIVE_TOWN_MEREDITH,"Alright, a new town to explore!"
AP7_DUNGEON_PASSIVE_TOWN_EUGENE,"Time to hit the town!"
AP7_DUNGEON_PASSIVE_TOWN_FELIX,"That sea view makes me wish I'd bought my sketchbook."
AP7_DUNGEON_PASSIVE_TOWN_VIOLA,"The ocean wind lifts the spirits!"
AP7_DUNGEON_PASSIVE_STATION_KAYLEIGH,"If this is like the other stations, I'm not sure we'll like what's at the end of this."
AP7_DUNGEON_PASSIVE_STATION_MEREDITH,"Argh! These stations give me the creeps."
AP7_DUNGEON_PASSIVE_STATION_EUGENE,"Keep on your toes, these stations are never far away from trouble."
AP7_DUNGEON_PASSIVE_STATION_FELIX,"I get the feeling we're reaching the end of this place."
AP7_DUNGEON_PASSIVE_STATION_VIOLA,"Its one of these old, troubling structures. We would be wise to tread carefully."
AP7_DUNGEON_PASSIVE_FINAL_KAYLEIGH,"It feels like this is the end of whatever this place is..."
AP7_DUNGEON_PASSIVE_FINAL_MEREDITH,"Those cubes could make some great stage lighting..."
AP7_DUNGEON_PASSIVE_FINAL_EUGENE,"Heroes never get an easy quest, do they? But we shall prevail!"
AP7_DUNGEON_PASSIVE_FINAL_FELIX,"This place gives off some big Archangel vibes, don't you think?"
AP7_DUNGEON_PASSIVE_FINAL_VIOLA,"This is quite the place we've ended up, isn't it {player}?"
AP7_DUNGEON_PASSIVE_RANGER_KAYLEIGH,"I'm getting a bad feeling about that ranger up ahead..."
AP7_DUNGEON_PASSIVE_RANGER_MEREDITH,"Umm... should the air be shifting like that?"
AP7_DUNGEON_PASSIVE_RANGER_EUGENE,"I think we've got a tough fight ahead, {player}..."
AP7_DUNGEON_PASSIVE_RANGER_FELIX,"The air here... it feels like those stations..."
AP7_DUNGEON_PASSIVE_RANGER_VIOLA,"Something feels troubling about this place, {player}..."
AP7_DUNGEON_PASSIVE_INN_KAYLEIGH,"Brilliant! A quick stop is just what we needed."
AP7_DUNGEON_PASSIVE_INN_MEREDITH,"Doesn't this place remind you of the Gramophone Café a bit too much?"
AP7_DUNGEON_PASSIVE_INN_EUGENE,"Hey, they've got an act on the stage!"
AP7_DUNGEON_PASSIVE_INN_FELIX,"And to think I thought there was only one Inn in New Wirral just the other day."
AP7_DUNGEON_PASSIVE_INN_VIOLA,"This is a quaint tavern, isn't it?"
AP7_DUNGEON_PASSIVE_LANDKEEPER_KAYLEIGH,"I didn't expect another office here of all places..."
AP7_DUNGEON_PASSIVE_LANDKEEPER_MEREDITH,"You know, aside from that big trap door you'd never even know this place was here..."
AP7_DUNGEON_PASSIVE_LANDKEEPER_EUGENE,"So this is where they've been hiding!"
AP7_DUNGEON_PASSIVE_LANDKEEPER_FELIX,"Isn't this office a bit bigger than the others? I hope that doesn't mean they've been more successful."
AP7_DUNGEON_PASSIVE_LANDKEEPER_VIOLA,"This is a strangely bleak hideaway, is it not?"
AP7_DUNGEON_PASSIVE_KUNEKO_KAYLEIGH,"This is certainly a change of scenery!"
AP7_DUNGEON_PASSIVE_KUNEKO_MEREDITH,"This is a pretty chill spot actually..."
AP7_DUNGEON_PASSIVE_KUNEKO_EUGENE,"C'mon {player}! This is the perfect place for some combat training!"
AP7_DUNGEON_PASSIVE_KUNEKO_FELIX,"Whoa! She has a whole island! I didn't add this to her backstory..."
AP7_DUNGEON_PASSIVE_KUNEKO_VIOLA,"A training ground! A perfect place to prepare for battle."
AP7_DUNGEON_AAHAND_NAME,"Lucid Sculptor"
AP7_DUNGEON_AAHAND_BANNER_SUBTITLE,"Lost in Makebelieve"
AP7_DUNGEON_AAHAND_BESTIARY_1,"An Archangel living in a dream of its own creation. It uses its guests from outside to 'sculpt' its idealized 'False Wirral'."
AP7_DUNGEON_AAHAND_INTRO_1,"{player.to_upper}... {partner.to_upper}...[pause]\n\nHAVE THE LANDS OF MY SLUMBER BEEN TO YOUR LIKING?"
AP7_DUNGEON_AAHAND_INTRO_2_1,"YOUR KIND COULD LIVE THE FANTASIES YOU INVENT\n\nYET YOU FIGHT A WORLD BEYOND YOUR CONTROL"
AP7_DUNGEON_AAHAND_INTRO_2_2,"YOUR KIND DESIRES WHAT YOU CANNOT LIVE\n\nYOU FIGHT EACH OTHER FOR THE BRUSH TO A CANVAS YOU DO NOT OWN"
AP7_DUNGEON_AAHAND_INTRO_2_3,"YOUR KIND SEEKS HAPPINESS IN PLACES YOU INVENT\n\nYET YOU LONG TO ESCAPE EVEN THOSE BEFORE TOO LONG"
AP7_DUNGEON_AAHAND_INTRO_3,"MY REALITY BEYOND SLEEP...\n\nIT CAN GRANT YOU THE IMPOSSIBLE WORLDS YOUR HEART SEEKS"
AP7_DUNGEON_AAHAND_INTRO_3_DOG,"Grr!"
AP7_DUNGEON_AAHAND_INTRO_3_KAYLEIGH,"No! We're trying to get everybody home! We're not getting stuck somewhere else!"
AP7_DUNGEON_AAHAND_INTRO_3_MEREDITH,"We don't plan on sticking around New Wirral or False Wirral or wherever this is buddy."
AP7_DUNGEON_AAHAND_INTRO_3_EUGENE,"No deal! We won't just give up on getting home!"
AP7_DUNGEON_AAHAND_INTRO_3_FELIX,"Uh, No. Thanks."
AP7_DUNGEON_AAHAND_INTRO_3_VIOLA,"I'm afraid we'll have to decline."
AP7_DUNGEON_AAHAND_INTRO_4,"I SHALL BE TAKING YOUR EXPERIENCES INTO THIS DREAM\n\nYOUR REPLICAS WILL MAKE A FINE MARBLE TO SCULPT"
